name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,3580,40434930,,,,,,,-122.7119912,45.568106,,,
,3581,40434946,,,,,,,-122.7116853,45.5684402,,,
,3582,40435020,,,,,,,-122.7084345,45.5703694,,,
,3583,40435042,,,,,,,-122.7087919,45.5711885,,,
,3584,40435189,turning_circle,,,,,,-122.7094715,45.585986,,,
,3585,40435190,,,,,,,-122.7101982,45.5859876,,,
,3586,40435354,,,,,,,-122.6703383,45.5386672,,,
,3587,7100744659,,,,,,,-122.6707773,45.5386702,,,
,3588,7100744684,,,,,,,-122.6708126,45.5386704,,,
,3589,40435356,,,,,,,-122.6717437,45.5386768,,,
,3590,4106531695,,,,,,,-122.6718643,45.5386773,,,
,3591,40436096,,,,,,,-122.7081406,45.5243429,,,
,3592,40436143,,,,,,,-122.7128765,45.5232778,,,
,3593,40437600,,,,,,,-122.7053462,45.5835782,,,
,3594,40437602,,,,,,,-122.7059346,45.5835806,,,
,3595,40437606,,,,,,,-122.7065956,45.5835794,,,
,3596,40437781,,,,,,,-122.7401957,45.5836,,,
,3597,40437782,,,,,,,-122.7417933,45.5839821,,,
,3598,40437785,,,,,,,-122.7434965,45.5843858,,,
,3599,40437789,,,,,,,-122.7453543,45.5848286,,,
,3600,40437838,,,,,,,-122.7342716,45.5816783,,,
,3601,40437842,,,,,,,-122.7352382,45.5820195,,,
,3602,40437846,,,,,,,-122.7362175,45.582368,,,
,3603,1525512627,,,,,,,-122.7387182,45.5829699,,,
,3604,40437850,,,,,,,-122.7473039,45.5854395,,,
,3605,40437852,,,,,,,-122.7485932,45.5858496,,,
,3606,40437854,,,,,,,-122.7504598,45.5864532,,,
,3607,,,,,,,,-122.6673576,45.5446568,,,boundary node created by osm2gmns
,3608,40437948,,,,,,,-122.668049,45.5446585,,,
,3609,40438037,,,,,,,-122.6901117,45.5771117,,,
,3610,40438039,,,,,,,-122.6901142,45.5777879,,,
,3611,40438041,,,,,,,-122.6901137,45.5784704,,,
,3612,40438042,,,,,,,-122.6901135,45.5788298,,,
,3613,40438043,,,,,,,-122.6901133,45.5791548,,,
,3614,40438044,,,,,,,-122.6901131,45.5795427,,,
,3615,40438056,,,,,,,-122.6902518,45.5627249,,,
,3616,40438059,,,,,,,-122.6902332,45.5645454,,,
,3617,40438062,,,,,,,-122.690211,45.5663567,,,
,3618,40438068,,,,,,,-122.6901856,45.5680973,,,
,3619,8623536119,crossing,,,,,,-122.6901793,45.5698197,,,
,3620,8623536082,crossing,,,,,,-122.6901792,45.5698604,,,
,3621,40438070,,,,,,,-122.6901798,45.5698899,,,
,3622,40438076,,,,,,,-122.6903974,45.573518,,,
,3623,40438078,,,,,,,-122.6903778,45.5753202,,,
,3624,40438079,,,,,,,-122.6903689,45.5771117,,,
,3625,1321235484,,,,,,,-122.6903652,45.5698913,,,
,3626,8623536083,crossing,,,,,,-122.6903666,45.5698637,,,
,3627,8623536120,crossing,,,,,,-122.690367,45.5698196,,,
,3628,40438098,,,,,,,-122.6903836,45.5680991,,,
,3629,40438095,,,,,,,-122.6903997,45.5663584,,,
,3630,40438088,,,,,,,-122.690421,45.5645467,,,
,3631,40438086,,,,,,,-122.6904352,45.5627264,,,
,3632,40439129,,,,,,,-122.6716268,45.5266687,,,
,3633,40439117,,,,,,,-122.6715448,45.5260099,,,
,3634,40439492,,,,,,,-122.747802,45.5824796,,,
,3635,7387738918,,,,,,,-122.748919,45.5828339,,,
,3636,40439493,,,,,,,-122.7490006,45.5828581,,,
,3637,40439496,,,,,,,-122.7502913,45.5832451,,,
,3638,40439499,,,,,,,-122.7512002,45.5834981,,,
,3639,40440003,,,,,,,-122.704329,45.523591,,,
,3640,1291123866,,,,,,,-122.7043333,45.523473,,,
,3641,40440004,,,,,,,-122.7043309,45.5233485,,,
,3642,1368175892,,,,,,,-122.7043535,45.5219089,,,
,3643,1357274666,,,,,,,-122.7043535,45.5217956,,,
,3644,40440153,,,,,,,-122.6785694,45.5258759,,,
,3645,40440150,,,,,,,-122.6785433,45.5251666,,,
,3646,40440145,,,,,,,-122.678517,45.5244543,,,
,3647,2173538374,,,,,,,-122.6785013,45.5240284,,,
,3648,2278984483,,,,,,,-122.6784965,45.5238992,,,
,3649,40440141,,,,,,,-122.6784907,45.5237404,,,
,3650,1325919902,crossing,,,,,,-122.6784689,45.5231497,,,
,3651,567256151,,,,,,,-122.6784665,45.5230831,,,
,3652,40440206,,,,,,,-122.7829411,45.5927734,,,
,3653,40440208,,,,,,,-122.7835214,45.5940421,,,
,3654,5231610121,,,,,,,-122.7840397,45.5952834,,,
,3655,40440221,,,,,,,-122.7354601,45.5794251,,,
,3656,40440223,,,,,,,-122.7352398,45.5798096,,,
,3657,40440226,,,,,,,-122.735062,45.580157,,,
,3658,40440227,,,,,,,-122.7348682,45.5805253,,,
